TotalSpend,OrderHabit,Tenure,SpendPerOrder,SpendRate,EngagementScore,ReturnImpact,RecencySpendRatio,RecentEngagement,GapEngagement,GapHabitScore,CLV
169.36,12.0,273,84.68,0.6203663003663005,0.004528221170556938,72.58285714285714,2.0926451612903225,2.9214330132625408e-05,0.0007386460065447488,1.9574468085106385,77183.6
611.53,509.0,30,611.53,20.384333333333334,0.6575591397849463,0.0,21.384333333333334,0.021918637992831544,0.6575591397849463,509.0,4085.18
222.16,373.0,64,222.16,3.47125,0.053403846153846156,0.0,4.4712499999999995,0.0008344350961538462,0.053403846153846156,373.0,1797.24
2671.14,331.0,215,890.38,12.423906976744185,0.17255426356589146,13.382464929859559,81.94363636363636,0.005228917077754287,0.06202128334574747,118.97153024911033,1757.55
343.8,94.0,18,171.9,19.1,2.0105263157894737,0.0,344.8,2.0105263157894737,1.0357256778309412,48.42424242424243,1665.74
317.76,192.0,34,317.76,9.345882352941176,0.2670252100840336,0.0,10.345882352941176,0.0078536826495304,0.2670252100840336,192.0,89.0
488.21,303.0,193,488.21,2.5295854922279792,0.013039100475401955,0.0,3.5295854922279792,6.756010609016557e-05,0.013039100475401955,303.0,459.4
3562.25,608.6666666666666,50,1187.4166666666667,71.245,4.190882352941177,0.0,594.7083333333334,0.6984803921568629,2.7606605975723624,400.9470899470899,2811.43
12079.99,1939.5,14,6039.995,862.8564285714285,115.04752380952381,0.0,863.8564285714285,8.217680272108844,115.04752380952381,1939.5,6207.67
2719.01,277.0,357,906.3366666666667,7.616274509803922,0.06382352941176471,0.0,2720.01,0.06382352941176471,0.008829954311821816,38.32281553398058,484.86
2563.36,188.33333333333331,360,427.2266666666667,7.120444444444445,0.11834533702677748,411.3564338781574,51.26196078431373,0.0023204968044466174,0.03245404041396262,51.646966115051214,6372.58
1590.83,258.8,281,318.166,5.661316725978647,0.10037795613437318,1.2284401544400394,319.166,0.020075591226874637,0.024190809373103788,62.370083102493076,2662.06
321.35,48.0,308,107.11666666666667,1.0433441558441559,0.01012955491110831,0.0,4.651704545454546,0.0001151085785353217,0.0007693332843879729,3.645569620253165,189.9
130.0,1.0,364,130.0,0.35714285714285715,0.0009784735812133072,0.0,1.3571428571428572,2.688114234102492e-06,2.67342508528226e-06,0.00273224043715847,4697.19
774.62,84.0,294,258.20666666666665,2.6347619047619046,0.026794188861985473,0.0,4.09848,0.00010717675544794189,0.011679518221891104,36.61538461538462,3545.69
2179.42,281.6666666666667,271,726.4733333333334,8.042140221402214,0.08870007597134795,0.0,63.26914285714286,0.0025342878848956555,0.0270299048078368,85.83333333333334,1887.96
763.0500000000001,159.5,299,381.52500000000003,2.552006688963211,0.017013377926421405,0.0,4.052200000000001,6.805351170568562e-05,0.007205665945307889,67.55294117647058,364.6
2246.29,340.0,214,748.7633333333333,10.496682242990653,0.14646533362312542,0.0,48.793404255319146,0.0031162836941090516,0.033380471383875086,77.48837209302324,742.9300000000001
1798.2,580.5,215,899.1,8.363720930232558,0.07744186046511628,0.0,257.8857142857143,0.01106312292358804,0.02032162295893122,152.32978723404256,1628.12
1407.7,787.0,188,1407.7,7.4877659574468085,0.039617809298660364,0.0,8.487765957446808,0.00021073302818436365,0.039617809298660364,787.0,4008.62
