Customer ID,TotalSpend,PurchaseFrequency,OrderHabit,Recency,AvgPurchaseGap,Tenure,Trend,Churn,ReturnRate,CLV
12346,169.36,2,12.0,155,5.130434782608695,273,Increasing,1,0.42857142857142855,77183.6
12347,611.53,1,509.0,30,0.0,30,Flag,0,0.0,4085.1800000000003
12348,222.16,1,373.0,64,0.0,64,Increasing,0,0.0,1797.24
12349,2671.14,3,331.0,33,1.7821782178217822,215,Increasing,0,0.00501002004008016,1757.55
12352,343.8,2,94.0,1,0.9411764705882353,18,Flag,0,0.0,1665.74
12353,317.76,1,192.0,34,0.0,34,Flag,0,0.0,89.0
12355,488.21000000000004,1,303.0,193,0.0,193,Decreasing,1,0.0,459.4
12356,3562.25,3,608.6666666666666,6,0.5180722891566265,50,Flag,0,0.0,2811.43
12357,12079.99,2,1939.5,14,0.0,14,Flag,0,0.0,6207.67
12358,2719.01,3,277.0,1,6.228070175438597,357,Decreasing,0,0.0,484.86
12359,2563.36,6,188.33333333333334,51,2.646551724137931,360,Decreasing,0,0.16047548291233285,6372.58
12360,1590.83,5,258.8,5,3.1494252873563218,281,Increasing,0,0.0007722007722007722,2662.06
12361,321.35,3,48.0,88,12.166666666666666,308,Decreasing,0,0.0,189.9
12362,130.0,1,1.0,364,,364,Decreasing,1,0.0,4697.19
12370,774.62,3,84.0,250,1.2941176470588236,294,Decreasing,1,0.0,3545.69
12371,2179.42,3,281.6666666666667,35,2.2815533980582523,271,Increasing,0,0.0,1887.96
12373,763.0500000000001,2,159.5,250,1.3611111111111112,299,Decreasing,1,0.0,364.6
12374,2246.29,3,340.0,47,3.3877551020408165,214,Increasing,0,0.0,742.9300000000001
12377,1798.2,2,580.5,7,2.810810810810811,215,Increasing,0,0.0,1628.12
12378,1407.7,1,787.0,188,0.0,188,Decreasing,1,0.0,4008.62
12379,767.98,2,204.0,48,2.8,160,Increasing,0,0.0,852.24
12380,5442.84,6,371.1666666666667,91,1.1461988304093567,288,Increasing,0,0.012854609929078014,2724.81
12388,1120.45,2,269.5,71,3.022222222222222,208,Increasing,0,0.0,2780.66
12391,2312.53,5,184.0,90,1.1,288,Decreasing,0,0.008620689655172414,460.89
12393,816.85,2,247.5,8,1.0952380952380953,54,Flag,0,0.011976047904191617,1582.6000000000001
12395,1702.54,3,362.3333333333333,32,2.3058823529411763,228,Increasing,0,0.0,3018.63
12399,853.65,3,340.0,11,5.16,270,Increasing,0,0.0,1108.65
12402,1031.3,5,98.0,18,4.758620689655173,296,Increasing,0,0.002036659877800407,225.6
12403,591.6600000000001,1,164.0,147,0.0,147,Increasing,1,0.0,427.7
12406,2975.06,3,532.6666666666666,25,4.95,323,Increasing,0,0.014796547472256474,3415.3
12408,1452.22,3,273.3333333333333,11,2.1132075471698113,124,Increasing,0,0.038686987104337635,2888.55
